"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,50,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
3,35,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
4,16,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
5,5,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
6,10,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
7,6,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
8,5,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
9,4,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
10,4,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
11,3,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
12,4,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
13,5,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
14,5,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
15,4,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
16,4,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
17,3,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
18,2,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
19,2,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
20,1,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
21,1,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
22,41,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
23,278,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
24,13,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
25,2,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
26,2,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
27,2,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_norm_mode"
1,97,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
2,47,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
3,32,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
4,15,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
5,7,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
6,16,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_norm_mode"
